ukrainian,definition
аварія,"accident, crash; fatal accident; shipwreck; crash"
авдиторія,auditorium; n.
авдиція,audition; hearing
авдієнція,audience (audience with a dignitary)
авеню,avenue
авжеж,"certainly, sure, surely"
авіабаза,air base
авіабомба,aerial bomb
авіакатастрофа,"air crash, air disaster"
авіаквиток,"air(line) ticket, flight ticket; airfare, air fare"
авіаклуб,"aeroclub, aviation club"
авіакомпанія,"airline, airways"
авіакрило,"wing, squadron"
авіалінія,"airline, airways, air route"
авіаносець,aircraft carrier
авіапошта,airmail
авіареис,flight; direct flight; return flight
авіасимулятор,flight simulator
авіасполучення,air connection
авіаудар,air strike
авіаціинии,"air, aerial, aircraft"
авіація,aviation
авізо,"notice, notification, advice; credit note, (AmE)"
авізувати,to advise
авіоніка,avionics
авітаміноз,avitaminosis
авля,guest hall
авокадо,avocado
аволікати,to delay; to retard
аворот,collar (garment part turning back)
авреоля,aureola; n.
австралієць,Australian
австраліика,Australian
австраліиськии,Australian
Австралія,Australia
австрієць,Austrian
австріика,Austrian
австріиськии,Austrian
Австрія,Austria
Австріяо-Угорщина,Austria-Hungary
авт,truck-driver-mechanic
автентифікація,authentication
автентичнии,authentic
автентичнииість,authenticity; n.
автентичність,authenticity
автівка,"car, automobile"
авто,(AmE); hired/ (AmE); used car; diesel
автобаза,"depot, (AmE)"
автобазар,"used cars (dealer), car mart"
автобан,motorway; highway
автобетономішалка,mixer truck
автобіографічнии,autobiographical
автобіографія,CV
автобус,"bus; go by bus, take a bus; on the bus"
автовиробник,"automaker, car maker, carmaker"
автовиставка,motor show
автовідповідач,answering machine
автовокзал,"bus station, bus terminal, (BrE)"
автогол,own goal
автограф,autograph
автограф-сесія,"autograph session, (autograph) signing"
автодром,(motor) racing circuit
автозавод,"car factory, car maker/manufacturer"
автозаправка,petrol station; gas station
автозапчастини,"car parts, (AmE)"
автозасмага,self-tanner
автоімунітет,autoimmunity
автокатастрофа,car accident/crash
автокемпінг,"caravan site, (AmE)"
автоклав,autoclave
автоколона,"convoy, motorcade"
автокран,"crane truck, mobile crane"
автократ,autocrat
автократія,autocracy
автомагістраль,"motorway, (AmE)"
автомаистерня,"car repair (shop), garage"
автомат,automatic transmission
автоматизація,automation
автоматизовании,automated
автоматизувати,automate sth
автоматичнии,automatic
автоматично,automatically
автоматник,machine gunner
автоматниця,(female) machine-gunner
автомашина,car; n.
автомеханік,auto(mobile)/(car) mechanic
автомиика,car wash
автомобілізм,motoring
автомобілізміст,automobilism; n.
автомобіліст,"automobilist, motorist, (AmE)"
автомобілістка,(female) automobilist
автомобіль,"car, automobile; company car; lorry, (AmE); demonstration car; passenger car"
автомобільнии,"automotive, car, motoring"
автонавантажувач,"fork lift, (fork) lift truck"
автономія,autonomy
автономнии,autonomous
автопарк,(vehicle) fleet
автоперевізник,"haulier, (AmE)"
автопілот,"autopilot, automatic pilot"
автопором,car ferry
автопортрет,self-portrait
автопригода,car accident/crash
автор,author
авторадіо,car radio
авторизація,authorization
авторизовании,"authorized, (BrE)"
авторизувати,authorize sth
авторитарнии,authoritarian
авторитет,authority
авторитетнии,authoritative
авторка,(female) author
авторство,authorship
авторське,author's; adj.
авторськии,"author's, authorial; copyright to sth; author reading"
автосалон,car showroom
автосервіс,"car/auto service, car repair (shop)"
автоспорт,"motoring, auto racing"
автоспуск,self-timer
автостоп,hitchhiking; hitchhike
автостопник,hitchhiker
автострада,"motorway, (AmE)"
автострахування,car insurance
автотранспорт,"road transport, (road) haulage"
автофокус,automatic focus(ing)
автохтон,autorotation?; adj.
автохтоннии,autochthonous
автошкола,driving school
автрризувати,to authorize
ага,I see
агава,"agave, (AmE)"
агама,agama
агат,agate
агент,agent; detective; agent provocateur; (AmE); publicist
агентка,(female) agent
агентство,tour operator; employment agency; real estate agency; recruitment agency; through the agency of sb/sth
агітатор,"agitator, promoter, propagandist"
агітаторка,(female) agitator
агітація,"campaigning, electioneering, canvassing"
агітувати,"agitate, campaign for sth"
агломерат,agglomerate
агломерація,"agglomeration of sth; urban agglomeration, (urban) sprawl"
агов,hey
агонія,agony
агорафобія,agoraphobia
аграріи,farmer
аграрнии,"agricultural, farming, agrarian"
агрегат,"aggregate, assembly, unit"
агресивнии,aggressive
агресивність,aggression
агресія,aggression
агресор,assailant
агресорка,(female) aggressor
агроном,agronomist
агрономія,agronomy
агрономка,(female) agronomist
агротуризм,"agritourism, agrotourism"
агукати,to gurgle; to make a bubbling sound
аґент,agent; n.
аґентство,agency; n.
аґітатор,agitator; n.
аґітація,agitation; n.
аґітувати,to agitate
аґраріи,agrarians
аґроном,agronomist; n.
аґрономічнии,agronomic; adj.
аґрономія,agronomy; n.
аґрус,gooseberry
ад,hell; n.
адаптація,adaptation to sth
адаптер,"adaptor, adapter; power pack"
адаптувати,adapt sth to sth
адаптуватися,"adapt, adjust"
адвентист,Adventist
адвокат,"lawyer, advocate, (AmE)"
адвокатеса,(female) advocate
адвокатство,advocacy; n.
адвокатськии,"attorney's, solicitor's"
адвокатура,advocacy
адгезія,adhesion
адекватнии,adequate
адекватно,adequately
аденоіди,adenoids
адже,after all
адміністративнии,"administrative, clerical"
адміністративнииатор,administrator
адміністратор,network administrator
адміністраторка,(female) administrator
адміністрація,admin
адмірал,admiral
адміраліція,admiralty; n.
аднотація,adnotation; n.
адоптація,adoption; n.
адр,ADR; abbreviation
адреналін,"adrenalin, adrenaline; What an adrenalin rush!"
адреса,address; address for service; e-mail address; contact address
адресаант,addressant; writer (of a letter)
адресант,sender
адресат,"addressee, recipient of sth"
адресатка,(female) addressee
адреснии,"directed, targeted"
адресувати,address sth to sb
адріатичнии,Adriatic; the Adriatic (Sea)
адрна,one meter thick; having a thickness of one meter
адут,trump (in card games)
адюльтер,fornication
ад'ютант,adjutant; n.
адʼютант,"aide, aide-de-camp"
аеробіка,aerobics; aerobic gymnastics
аеробнии,aerobic
аеродинаміка,aerodynamics
аеродинамічнии,aerodynamic; aerodynamic drag
аеродром,(BrE)
аерозоль,aerosol
аеронавтика,aeronautics
аеронавтичнии,aeronautical
аеронлян,aeroplane; airplane
аеропорт,airport; at the airport; I need a ride to the airport.
аеропортнии,airport
аеростат,"balloon, airship, dirigible"
аерофотознімок,aerial photo(graph)
АЕС,nuclear power plant
аж,as; to the extent of
ажіотаж,rush; buying frenzy; hype; excessive demand
ажки,laces; ribbons
азалія,azalea
азарт,enthusiasm for sth
азартнии,gambling; gambler
азбест,asbestos
азбука,alphabet; ABCs
Азербаиджан,Azerbaijan
азербаиджанськии,Azerbaijanian
азиль,azil; n.
азилью,right of sanctuary
азимут,azimuth
азіат,Asian
азіатка,Asian
азіатськии,Asian
азіиськии,Asian
Азія,Asia; Southeast(ern) Asia
Азори,Azores
азот,nitrogen
азотна,nitrogen oxide; n.
азотнии,"nitrogen(ous), nitric"
АЗС,petrol station; gas station
аи,ouch; ow
аива,quince
аии,character; villain
аикідо,aikido
аисберг,iceberg
аисинг,icing
аистра,aster
аитішник,IT guy
аитішниця,IT specialist (female); woman working in information technology
аІІ,at sea; putting all one's eggs in one basket; alone; confidentially; worldwide; safe and sound; total; all night
аір,air
академік,academic
академікія,academy
академічнии,"university, academic; academic year"
академія,academy; academy of sciences; military academy
акаунт,account
акація,"black locust, false acacia, acacia, locust (tree)"
акваланг,"scuba, aqualung"
аквамарин,aquamarine
аквапарк,waterpark
аквареліст,watercolorist; n.
акварель,watercolour
акваріи,aquarium
акваріум,aquarium
акваріуміст,"aquarist, fishkeeper"
акваторія,waters
аквафобія,hydrophobia
акведук,aqueduct
аквізиція,acquisition
акліматизація,"acclimatization, (BrE)"
акліматизувати,acclimatize sb
акліматизуватися,"acclimatize, (BrE)"
аклямація,acclamation; n.
акне,acne
аколіт,acolyte
акомианіювати,acoomianiate; v.
акомодація,"adjustment, accommodation to sth"
акомодувати,to accomodate;
акомодуватися,to accommodate; to adapt oneself
акомпанемент,(musical) accompaniment
акомпанувати,accompany sb on sth
акорд,chord
акордеон,accordion
акордеоніст,accordionist
акордеоністка,(female) accordionist
АКПП,automatic transmission
акр,acre
акредитація,accreditation
акредитив,letter of credit
акредитувати,accredit sth
акриловии,acrylic
акробат,"acrobat, tumbler"
акробатика,acrobatics; acrobatic skiing
акробатичнии,acrobatic
акробатка,(female) acrobat
акронім,acronym
акселерація,acceleration
аксесуари,accessories
аксіальнии,axial
аксіома,axiom
акт,act
активація,activation
активи,assets
активіст,activist
активістка,(female) activist
активнии,active
активниипр,active
активність,operation
активно,actively
активувати,"activate, actuate"
актинія,sea anemone
актор,actor; amateur actor
акторка,actress
актуалізація,update
актуальнии,up-to-date
актуально,"currently, at the moment"
акула,shark; hammerhead (shark); (great) white shark
акумулювати,accumulate sth
акумулятор,"battery, accumulator, storage battery; additional battery (pack); flat battery; (AmE); My battery is flat."
акумуляція,accumulation
акупресура,acupressure
акупунктура,acupuncture
акуратнии,neat
акуратність,neatness
акустика,acoustics
акустичнии,acoustic
акут,acute (accent)
акушер,obstetrician
акушерія,midwifery; n.
акушерка,midwife
акцент,accent (pronunciation or emphasis)
акцентувати,"stress, emphasize sth"
акцепт,acceptance
акцептувати,accept; v.
акциз,excise (tax)
акцизник,excise officer
акціинии,share capital
акціонер,"shareholder, (AmE)"
акціонерка,(female) shareholder
акціонернии,"share, stock; joint-stock company"
акція,special offer | stock/share prices
албанець,Albanian
Албанія,Albania
албанка,Albanian
албанськии,Albanian
алгебра,algebra
алгоритм,algorithm
але,but
алебастр,alabaster
алегоричнии,np allegoric(al)
алегорія,allegory
алерген,allergen
алергік,allergic person
алергія,allergy to sth
алея,"avenue, alley, alleyway"
Алжир,Algeria
алжирець,Algerian
алжирка,Algerian
алжирськии,Algerian
алібі,alibi
алігатор,alligator
аліквотнии,aliquot
аліменти,(child) maintenance
алкалоід,alkaloid
алкаш,"alcoholic, alcohol addict, habitual drinker"
алкоголізм,alcoholism
алкоголік,alcoholic
алкоголь,"alcohol, spirit(s), (hard) liquor; blood alcohol content"
алкогольнии,alcoholic
алкотест,breath test; breathalyze sb
алкотестер,"Breathalyzer, (BrE)"
Аллах,Allah
Алло!,Hello!
алмаз,diamond
алое,aloe
алонж,long rein used for exercising a horse
алтеи,"althaea, (AmE)"
алун,alum; a chemical compound used in dyeing and tanning
алфавіт,alphabet; alphabetically
алфавітнии,"alphabetical, alphabetic"
алхімік,alchemist
алхімія,alchemy
Альбанія,Albania
альбатрос,albatross
альбінос,albino
альбом,album; solo album
альвеола,alveolus
альґебра,algebra; n.
альдегід,aldehyde
алькир,alcove
алькоголік,alcoholic; adj.; n.
алькоголь,alcohol; n.
альманах,almanac
Альни,Alps; Alpine (adj.); alpine inhabitant (noun)
альпака,alpaca
Альпи,the Alps
альпіиськии,Alpine
альпінізм,"mountaineering, mountain climbing, alpinism"
альпініст,"mountaineer, mountain climber, alpinist"
альпіністка,(female) mountain climber
альт,viola (musical instrument)
альтана,altana; n.
альтанка,"gazebo, summerhouse"
альтернатива,alternative
альтернативнии,alternative; alternative service; alternative energy sources
альтернативно,"alternatively, as an alternative"
альтернатор,alternator
альтист,"violist, viola player"
альтруізм,altruism
альтруіст,altruist
альтруістичнии,altruistic
альтруістка,(female) altruist
альфа,alpha
альянс,alliance
алюзія,illusion; n.
алюмініи,"aluminium, (AmE)"
алябастер,almack? wait
алябастерровии,almack? wait
алярм,alarm n.; alarm (signal) / alarm (state of fear) v.?
алярмувати,"alarm v.; alarm (to warn, to cause alarm)"
Аляска,Alaska
АМ,shareholder
Амазонія,Amazonia
Амазонка,the Amazon (river)
амазонськии,Amazonian; Amazonian rainforest
амальгама,amalgam
амарант,amaranth
аматор,amateur
аматорка,(female) amateur
аматорськии,"lay, amateur"
амбар,granary
амбасада,embassy
амбасадор,ambassador n.
амбівалентнии,"equivocal, ambivalent"
амбітнии,ambitious
амбіціі,ambition
амброзія,ambrosia
амбулаторія,outpatient(s') department
амбулаторнии,outpatient
амбулянс,ambulance (n.)
амбуляторія,clinic (n.)
амбція,ambition (n.)
амвон,pulpit
амеба,"amoeba, (AmE)"
Америка,America; Central America; Latin America; South America; North America
Америкаанська,American (adj.)
американець,American
американка,American
американськии,American
аметист,amethyst
аміак,ammonia
амінокислота,amino acid
амінь,amen
амнезія,"amnesia, memory loss"
амнестія,amnesia (n.)
амністія,amnesty
амністувати,amnesty sb
амнутація,amputation (n.)
амнутувати,to amputate
амоніак,ammonia
амоніяк,ammonia
аморальнии,"immoral, amoral"
аморальність,immorality
амортизатор,shock absorber
амортизація,amortization
амортизувати,"soften, deaden, absorb sth , mute"
аморфнии,amorphous
ампер,"ampère, ampere"
амперсанд,ampersand
ампір,Empire (style)
амплітуда,amplitude
ампула,"ampoule, (AmE)"
ампутація,amputation
ампутувати,amputate
амулет,amulet
амуніція,ammo
амур,Amur (a type of freshwater fish native to East Asia)
амфетамін,amphetamine
амфібія,amphibian
амфітеатр,"amphitheatre, (AmE)"
амфора,amphora
АН,AN (abbr.)
анаболік,anabolic
анаболічнии,anabolic
анаграма,anagram
анаеробнии,anaerobic; anaerobic exercise
анаконда,anaconda
аналіз,analysis; blood test; thermovision
аналізіа,analysis
аналізіувати,analyse (v.)
аналізувати,"analyse, (AmE)"
аналітик,analyst
аналітика,analytics
аналітикиня,(female) analyst
аналітичнии,"analytical, (AmE)"
аналог,analogue of sth
аналогіічнии,analogous
аналогічнии,"analogous, corresponding to sth"
аналогія,analogy
аналоговии,"analogue, (AmE)"
анальгетик,"analgesic, anodyne, painkiller"
анальнии,anal
анально,anally
анальфабет,illiterate (adj.)
анамнез,"anamnesis, case history"
ананас,pineapple
анархіічнии,anarchic; without government or order
анархіст,anarchist
анархістка,(female) anarchist
анархічнии,"anarchist, anarchistic"
анархія,anarchy
анат,uvula; pawl (in a lock); hand (of a compass); cock (of a scale)
анатом,anatomist (n.)
анатомічнии,anatomical; anatomically shaped
анатомічно,anatomically
анатомія,anatomy
анахронізм,anachronism
ангажемент,engagement
ангажовании,engagé
ангар,hangar
ангел,angel
ангіна,tonsillitis
англієць,Englishman
англіика,Englishwoman
англіиське,English (adj.)
англіиськии,English; English (and American) studies; English (language)
англіиською,(in) English
англіканськии,Anglican
англістика,English (and American) studies
Англія,England
англо-американськии,Anglo-American
англомовнии,Anglophone
англосаксонськии,Anglo-Saxon
Ангола,Angola
ангольськии,Angolan
ангорськии,angora; angora wool
анґажуватДО,engage (v.)
анґажувати,to engage
Анди,the Andes
андорка,Andorran
Андорра,Andorra
андоррець,Andorran
андоррськии,Andorran
андрогінність,androgyny
андроід,android
андськии,Andean
аневризма,aneurysm
анекдот,"joke, anecdote"
анекдота,anecdote (n.)
анекдотичнии,np anecdotic(al)
анексія,annexation
анексувати,annex
анектувати,to annex; to incorporate territory into another state
анелювати,annul (v.)
анеляціинии,Court of Appeal
анеляція,appellation; title; name
анемічнии,"anaemic, (AmE)"
анемія,"anaemia, (AmE)"
анемона,"anemone, windflower"
анестезіолог,"anaesthetist, anaesthesiologist, (AmE)"
анестезіологиня,(female) anaesthetist
анестезія,"anaesthesia, (AmE)"
анестезувати,"anaesthetize, (AmE)"
анестетик,"anaesthetic, (AmE)"
ані,not
аніж,than (conj.)
аніліна,aniline (n.)
аніліновии,aniline
аніматор,animator
аніматорка,(female) animator
анімаціинии,animated
анімація,animation; computer animation
аніме,anime
аніон,anion
аніс,anise; aniseed
анітрохи,"not at all, not a bit of it, of course not; no"
анкета,survey
анклав,enclave
анод,anode
анода,anode (n.)
аномаліьнии,anomalous
аномалія,anomaly
аномальнии,anomalous
анонім,anonymous letter
анонімнии,anonymous
анонімність,anonymity
анонімно,anonymously
анонс,teaser
анонсувати,announce sth
анорексичнии,"anorexic, anorectic"
анорексія,anorexia; anorexia nervosa
анормальнии,abnormal
анотація,annotation
анробата,approval; sanction
анробатувати,[unclear] (v./n.)
ансамбль,ensemble
антагоністичнии,antagonistic
антаґонст,antagonist (n.)
антанта,Entente; alliance; agreement
Антарктида,"Antarctica, the Antarctic"
антарктичнии,Antarctic
антена,"aerial, antenna; satellite dish (aerial)"
антиалькоголізм,anti-alcoholism; movement against alcohol consumption
антиалькоголізмьнии,abstinent
антибактеріальнии,antibacterial
антибіотик,antibiotic
антивакцинатор,anti-vaxxer
антивірус,"antivirus, antivirus program"
антивіруснии,antivirus; anti-virus program
антивоєннии,antiwar
антиген,antigen
антидатувати,"backdate, antedate sth"
антидепресант,antidepressant
антидопінговии,anti-doping
антиінфляціинии,anti-inflationary
антиквар,"antiquary, antiquarian, antique dealer"
антикваріят,antiquariat (n.)
антикварнии,antiquarian
антикомуніст,anti-communist
антикомуністичнии,anti-communist
антиконституціинии,unconstitutional
антикорупціинии,anti-corruption
антикризовии,anti-crisis
антилопа,antelope
Антильські острови,the Antilles
антиматерія,antimatter
антимонопольнии,"antimonopoly, (AmE)"
антиоксидант,antioxidant
антипатія,antipathy
антиперспірант,antiperspirant
антипод,Antipode; Antipodes
антирадар,radar jammer
антиросіиськии,anti-Russian
антисанітарія,unsanitariness
антисеміт,anti-Semite
антисемітизм,anti-Semitism
антисемітськии,anti-Semitic (adj.)
антисентика,antisentica (n.)
антисентикичнии,antiseptic
антисептик,antiseptic
антисептичнии,antiseptic
антитіло,antibody
антиурядовии,anti-government
антифашистськии,antifascist
антифриз,antifreeze
антициклон,anticyclone
антиципувати,anticipate sth
античнии,ancient
античність,antiquity
антологія,anthology
антонім,antonym
антракт,intermission
антрацит,anthracite
антрекот,rib eye steak
антроиоЗіог,anthropologist
антроиоЗіогічнии,anthrozoölogic (adj.)
антроиоЗіогія,anthropology
антрополог,anthropologist
антропологиня,(female) anthropologist
антропологічнии,anthropological
антропологія,anthropology
ануітет,annuity
анулювання,cancellation fee
анулювати,annul
анус,"anus, anal orifice"
анчоус,anchovy
аншлаг,It's sold out.
аорист,aorist
аорта,aorta
апарат,"apparatus; system, apparatus"
апаратура,apparatus
апартамент,suite
апартеід,apartheid
апатичнии,"apathetic, spiritless"
апатія,apathy
апґреид,upgrade
апель,appeal; roll-call; military muster
апельсин,orange
апельсиновии,orange
апелювати,appeal against sth
апеляція,appeal to sb
апендикс,appendix
апендицит,appendicitis
Апенніни,the Apennines
аперитив,aperitif
апетит,appetite for sth; lack/loss of appetite
апетитнии,appetizing
аплікація,applique
аплодисменти,applause
аплодувати,applaud sb
апное,"apnoea, (AmE)"
апокаліпсис,apocalypse
апокаліптичнии,"apocalyptic, apocalyptical"
аполітичнии,apolitical
апоплексія,apoplexy; stroke
апортувати,"fetch, retrieve"
апостол,apostle
апостольськии,apostolic (adj.)
апостроф,apostrophe
аптека,"pharmacy, (BrE)"
аптекар,"pharmacist, (AmE)"
аптекарка,"(female) pharmacist, (AmE)"
аптекарськии,pharmaceutical
аптечка,first-aid kit
апчхи,"atishoo, atchoo"
ар,are
араб,Arab
Арабія,Arabia
арабка,Arab (woman)
арабськии,"Arab, Arabian, Arabic; Arabic (language); Arab countries"
Аравія,Arabia
аранжувальник,arranger
аранжувальниця,(female) arranger
аранжування,arrangement
аранжувати,arrange
арахіс,"peanut, (BrE); groundnut, peanut (vine)"
арахнофобія,arachnophobia
арбалет,crossbow
арбітр,"referee, umpire, judge"
арбітраж,arbitration
аргановии,argan oil
Аргентина,Argentina
аргентинець,"Argentinian, Argentine"
аргентинка,"Argentinian, Argentine"
аргентинськии,"Argentinian, Argentine"
арго,argot
арготичнии,relating to argot; slang
аргумент,argument
аргументація,argumentation
аргументувати,"argue for sth, against sth"
арґумент,argument (n.)
арена,arena; stadium
ареола,areola
ареометр,densimeter
арешт,arrest; custody
арештант,"prisoner, convict"
арештантка,(female) prisoner
арештовании,arrested; detainee
арештувати,"sequester, distrain upon sth"
аристократ,aristocrat
аристократизм,"grace, elegance"
аристократичнии,aristocratic
аристократія,aristocracy
аритметика,arithmetic (n.)
аритметикичнии,arithmetic (adj./n.)
аритмія,arrhythmia
арифметика,arithmetic
арифметичнии,arithmetic
арія,aria
арка,arch
аркада,arcade
аркан,large lasso used for catching animals
Арктика,the Arctic (zone)
арктичнии,arctic
аркуш,sheet
арматура,"fitting(s), fixtures; reinforcement"
армія,"army, the military; Salvation Army"
армреслінг,arm wrestling
ароґант,arrogant (adj.)
ароґантція,arrogance (n.)
аромалампа,oil burner
аромат,"aroma, smell, fragrance, scent, odour, (AmE)"
ароматерапія,aromatherapy
ароматичнии,"aromatic, scented, perfumed; incense stick"
арорІеху,"of the brain, of the"
арочнии,"arched, arching, vaulted"
арсен,arsenic
арсенал,"arsenal, armoury, (AmE)"
артбригада,artillery brigade
артезіанськии,artesian
артеріальнии,arterial
артерііинии,arterial
артеріосклероз,"atherosclerosis, arteriosclerosis, hardening of the arteries"
артерія,artery; carotid (artery); (traffic) artery
артефакт,"artefact, artifact"
артикул,article
артикулювати,articulate
артикуляція,articulation
артилерист,"artilleryman, gunner"
артилеристка,female artilleryman; female gunner
артилерія,artillery
артист,"artist; acrobat, tumbler"
артистичниипр,artistic
артистка,(female) artist
артишок,(globe) artichoke
артіль,artillery (n.)
артроз,arthrosis
арфа,harp
арфіа,harpy
арфііст,arphist (n.)
архаізм,archaism
архаічнии,"archaic, archaistic"
архангел,archangel
архачнии,archaic; antiquated
археолог,"archaeologist, (AmE)"
археологиня,(female) archaeologist
археологічнии,"archaeological, (AmE)"
археологія,"archaeology, (AmE)"
археологогія,archaeology (n.)
архетип,archetype
архетипнии,"archetypal, archetypical"
архиєпископ,archbishop
архиєпископство,"archbishopric, archiepiscopate"
архів,archive
архівар,archivist (n.)
архіваріус,archivist
архівація,archiving
архівувати,archive
архідіякон,archdeacon (n.)
архієпископ,archbishop (n.)
архієпископство,archbishopric (n.)
архієреи,archbishop; high-ranking bishop
архікнягина,archqueen (n.)
архімандрит,archimandrite (n.)
архіпастир,archpriest (n.)
архіпастирськии,archpriestly (adj.)
архіпелаг,archipelago
архітект,architect (n.)
архітектор,"architect; landscape architect/gardener, landscapist"
архітекторка,(female) architect
архітектура,architecture
архітектурнии,"architectural, architectonic"
аршин,arshin; a traditional Russian and Turkish unit of length equivalent to about 28 inches
аршинник,a cloth-measuring tool; a traditional Russian measure of length (approx. 28 inches)
асексуальнии,asexual
асекураціиниипр,insurance company
асекурація,asecuration (n.)
асенізація,redevelopment; redevelop
асертивнии,assertive
асертивність,assertiveness
асиґната,assignat (historical paper currency)
асиґнатувати,to assign a th. to a p.
асиметричнии,"asymmetric, asymmetrical"
асиметрія,asymmetry
асимілювати,assimilate
асимілюватяція,assimililation (n.)
асиміляція,assimilation
асист,assist
асиста,assistant (n.)
асистент,"assistant, aide; assistant coach"
асистентка,(female) assistant
асистенція,assistance
асистовании,assisted
асистувати,"second, assist sb"
аскарида,"ascarid, ascaris"
аскет,ascetic
аскетизм,asceticism
аскетичнии,ascetic
асортимент,"range (of products), assortment"
асорті,platter; cold cuts
асоціальнии,antisocial
асоціація,"association, society, fellowship"
асоціювати,associate sth with sth
аспартам,aspartame
аспект,"viewpoint, aspect, facet of sth"
аспірант,(BrE)
аспірантськии,postgraduate
аспірантура,postgraduate study
аспірація,aspiration
аспірин,aspirin
аст,as (prep.)
астероід,"asteroid, planetoid, minor planet"
астигматизм,astigmatism
астма,asthma
астматичнии,asthmatic; asthmatic cough
астральнии,astral
астролог,astrologer
астрологиня,(female) astrologer
астрологічнии,astrological
астрологія,astrology
астронавт,"astronaut, cosmonaut"
астронавтка,(female) astronaut
астроном,astronomer
астрономічнии,astronomical
астрономія,astronomy
астрономка,(female) astronomer
астрофізик,astrophysicist
астрофізика,astrophysics
астрофізикиня,(female) astrophysicist
асфальт,asphalt
асфальтобетон,asphalt concrete
асфальтовии,asphaltic (adj.)
асфальтувати,asphalt
асфіксія,asphyxia
асцендент,ascendant
ат,"at; an adposition indicating position, time, manner, or a target of action; used in various phrases and idioms"
атака,"attack, assault, offensive, (AmE); airborne attack"
атакувати,They came under attack.; They were attacked.
атакуючии,attacker
аташе,attaché
атеізм,atheism
атеіст,atheist
атеістичнии,atheistic
ательє,"studio, atelier; tailor's (shop)"
атентат,assassin (n.)
атеросклероз,atherosclerosis
атестат,certificate
атестація,"board/(medical) postgraduate certification; GCSE (exam), A level(s)"
атестіат,testate (n.)
атиповии,"atypical, untypical"
атлантичнии,Atlantic
атлас,atlas | satin
атласовии,"satin-like; having a smooth, glossy surface resembling satin"
атлет,athlete
атлетика,"athletics, (AmE); weightlifting; track and field events"
атлетичнии,athletic
атлетка,(female) athlete
атмосфера,atmosphere
атмосферичнии,atmospheric (adj.)
атмосфернии,atmospheric; atmospheric pressure
атол,atoll
атом,atom
атомнии,"atomic; atom bomb, atomic bomb, A-bomb; atomic number"
атопічнии,atopic
атракціон,"amusements, attraction"
атракція,attraction (n.)
атрибут,attribute
атріум,atrium
атропін,"atropin, atropine"
атрофія,atrophy
атрофуватися,atrophy
аувати,to breathe
аугментатив,augmentative
аудит,audit; audit sth
аудитор,"comptroller, auditor"
аудиторія,lecture room
аудиторка,(female) auditor
аудієнція,audience with sb
аудіо,audio
аудіовізуальнии,audiovisual
аудіодоріжка,track
аудіокнижка,audiobook
аудіотехніка,audio equipment
аукціон,"auctioning, bargaining, auction"
аукціонер,bidder
аукціоніст,auctioneer
аутизм,autism
аутист,autistic person
аутистка,(female) autistic
аутичнии,autistic
аутопсія,"autopsy, postmortem (examination)"
аутсаидер,"underdog, outsider"
аутсорсинг,outsourcing
аутфіт,outfit
Афганістан,Afghanistan
афганськии,Afghan
афект,affect
афектовании,"affected, artificial, stilted"
афера,fraud; swindle
афина,athena
афікс,affix
Афіни,Athens
афіша,poster
афішаувати,"to advertise (on posters), to post up bills"
афішувати,to advertise; to publicize
афоризм,aphorism
Африка,Africa
африканець,African
африканка,African
африканськии,African
