ukrainian,definition
авреоля,(-лі) ж aureola
австралієць,Australian
австраліика,Australian
австраліиськии,Australian
Австралія,Australia
австрієць,Austrian
австріика,Austrian
австріиськии,Austrian
Австрія,Austria
Австріяо-Угорщина,ж Аиstro-Hungary
авт,truck-driver-mechanic
автентифікація,authentication
автентичнии,authentic
автентичнииість,(-ности) ж authenticity
автентичність,authenticity
автівка,"car, automobile"
авто,(AmE); hired/ (AmE); used car; diesel
автобаза,"depot, (AmE)"
автобазар,"used cars (dealer), car mart"
автобан,(AmE)
автобетономішалка,mixer truck
автобіографічнии,autobiographical
автобіографія,CV
автобус,"bus; go by bus, take a bus; on the bus"
автовиробник,"automaker, car maker, carmaker"
автовиставка,motor show
автовідповідач,BrE
автовокзал,"bus station, bus terminal, (BrE)"
автогол,own goal
автограф,autograph
автограф-сесія,"autograph session, (autograph) signing"
автодром,(motor) racing circuit
автозавод,"car factory, car maker/manufacturer"
автозаправка,(BrE)
автозапчастини,"car parts, (AmE)"
автозасмага,self-tanner
автоімунітет,autoimmunity
автокатастрофа,car accident/crash
автокемпінг,"caravan site, (AmE)"
автоклав,autoclave
автоколона,"convoy, motorcade"
автокран,"crane truck, mobile crane"
автократ,autocrat
автократія,autocracy
автомагістраль,"motorway, (AmE)"
автомаистерня,"car repair (shop), garage"
автомат,automatic transmission
автоматизація,automation
автоматизовании,automated
автоматизувати,automate sth
автоматичнии,automatic
автоматично,automatically
автоматник,machine-gunner
автоматниця,(female) machine-gunner
автомашина,(-тій) ж motor
автомеханік,auto(mobile)/(car) mechanic
автомиика,car wash
автомобілізм,motoring
автомобілізміст,"(-а) ч motorist, automobilist"
автомобіліст,"automobilist, motorist, (AmE)"
автомобілістка,(female) automobilist
автомобіль,"car, automobile; company car; lorry, (AmE); demonstration car; passenger car"
автомобільнии,"automotive, car, motoring"
автонавантажувач,"fork lift, (fork) lift truck"
автономія,autonomy
автономнии,autonomous
автопарк,(vehicle) fleet
автоперевізник,"haulier, (AmE)"
автопілот,"autopilot, automatic pilot"
автопором,car ferry
автопортрет,self-portrait
автопригода,car accident/crash
автор,scorer
авторадіо,car radio
авторизація,authorization
авторизовании,"authorized, (BrE)"
авторизувати,authorize sth
авторитарнии,authoritarian
авторитет,authority
авторитетнии,authoritative
авторка,(female) author
авторство,authorship
авторське,пра́во copyright
авторськии,"author's, authorial; copyright to sth; author reading"
автосалон,car showroom
автосервіс,"car/auto service, car repair (shop)"
автоспорт,"motoring, auto racing"
автоспуск,self-timer
автостоп,hitchhiking; hitchhike
автостопник,hitchhiker
автострада,"motorway, (AmE)"
автострахування,car insurance
автотранспорт,"road transport, (road) haulage"
автофокус,automatic focus(ing)
автохтон,(-а) ч autochthon; aborigines мп\ ~ний ^ autochthonous; aboriginal
автохтоннии,autochthonous
автошкола,driving school
автрризувати,' to authorize
ага,I see
агава,"agave, (AmE)"
агама,agama
агат,agate
агент,agent; detective; agent provocateur; (AmE); publicist
агентка,(female) agent
агентство,tour operator; employment agency; real estate agency; recruitment agency; through the agency of sb/sth
агітатор,"agitator, promoter, propagandist"
агітаторка,(female) agitator
агітація,"campaigning, electioneering, canvassing"
агітувати,"agitate, campaign for sth"
агломерат,agglomerate
агломерація,"agglomeration of sth; urban agglomeration, (urban) sprawl"
агов,hey
агонія,agony
агорафобія,agoraphobia
аграріи,farmer
аграрнии,"agricultural, farming, agrarian"
агрегат,"aggregate, assembly, unit"
агресивнии,aggressive
агресивність,aggression
агресія,aggression
агресор,assailant
агресорка,(female) aggressor
агроном,agronomist
агрономія,agronomy
агрономка,(female) agronomist
агротуризм,"agritourism, agrotourism"
агукати,gurgle
аґент,(-а) ч agent
аґентство,(ва) су ~ура (-ри) ж agency
аґітатор,(-а) ч agitator
аґітація,(-ії) ж agitation
аґітувати,to agitate
аґраріи,(-ія) ч agrarian
аґроном,(-а) ч agriculturist;
аґрономічнии,пр agricultural
аґрономія,(-ії) ж agriculturism
аґрус,gooseberry
ад,"(-У) ч Hades; nether world, lower (a. infernal) regions ми"
адаптація,adaptation to sth
адаптер,"adaptor, adapter; power pack"
адаптувати,adapt sth to sth
адаптуватися,"adapt, adjust"
адвентист,Adventist
адвокат,"lawyer, advocate, (AmE)"
адвокатеса,(female) advocate
адвокатство,(-ва) с (~ри) ж attorneyship; solicitor's profession
адвокатськии,"attorney's, solicitor's"
адвокатура,advocacy
адгезія,adhesion
адекватнии,adequate
адекватно,adequately
аденоіди,adenoids
адже,after all
адміністративнии,"administrative, clerical"
адміністративнииатор,(-а) ч administrator
адміністратор,network administrator
адміністраторка,(female) administrator
адміністрація,admin
адмірал,admiral
адміраліція,(-ії) ж admiralty
аднотація,"(-ії)ж observation,"
адоптація,"(-ії) ж adoption,"
адр,"rough, rude, brutal; короткий і гру́бий stumpy"
адреналін,"adrenalin, adrenaline; What an adrenalin rush!"
адреса,address; address for service; e-mail address; contact address
адресаант,"(-а) ч, ~ap ( ара) ч writer (of a"
адресант,sender
адресат,"addressee, recipient of sth"
адресатка,(female) addressee
адреснии,"directed, targeted"
адресувати,address sth to sb
адріатичнии,Adriatic; the Adriatic (Sea)
адрна,один ме́тер to be one metie thick a. in thickness
адут,(-а) ч trump; що є ~ ?
адюльтер,fornication
ад'ютант,"(-а) ч adjutant, генера́ла: aide-de camp"
адʼютант,"aide, aide-de-camp"
аеробіка,aerobics; aerobic gymnastics
аеробнии,aerobic
аеродинаміка,aerodynamics
аеродинамічнии,aerodynamic; aerodynamic drag
аеродром,(BrE)
аерозоль,aerosol
аеронавтика,aeronautics
аеронавтичнии,aeronautical
аеронлян,"(-а) ч aeroplane,"
аеропорт,airport; at the airport; I need a ride to the airport.
аеропортнии,airport
аеростат,"balloon, airship, dirigible"
аерофотознімок,aerial photo(graph)
АЕС,nuclear power plant
аж,as far as; As many as 20 million people watched the game.
ажіотаж,razzle-dazzle
ажки,by the time
азалія,azalea
азарт,enthusiasm for sth
азартнии,gambling; gambler
азбест,asbestos
азбука,Cyrillic; Morse (code)
Азербаиджан,Azerbaijan
азербаиджанськии,Azerbaijanian
азиль,(-лю) ч asylum; право
азилью,right of sanctuary
азимут,azimuth
азіат,Asian
азіатка,Asian
азіатськии,Asian
азіиськии,Asian
Азія,Asia; Southeast(ern) Asia
Азори,Azores
азот,nitrogen
азотна,~ова кислина nitric
азотнии,"nitrogen(ous), nitric"
АЗС,(BrE)
аи,"ouch, ow"
аива,quince
аии,хара́ктер villain; ~ a
аикідо,aikido
аисберг,iceberg
аисинг,icing
аистра,aster
аитішник,IT guy
аитішниця,IT woman
аІІ,"at sea ; one's eggs in(to) one basket ; alone,lonely; confidentially ; over the world; (ненару́шений) safe and sound, unhurt, uninjured; total; ~ y ніч ; night long"
аір,calamus
академік,academic
академікія,(-ії) ж academy
академічнии,"university, academic; academic year"
академія,academy; academy of sciences; military academy
акаунт,account
акація,"black locust, false acacia, acacia, locust (tree)"
акваланг,"scuba, aqualung"
аквамарин,aquamarine
аквапарк,waterpark
аквареліст,(-а) ч water-colour painter
акварель,watercolour
акваріи,(-ія) ч ~юм с («вд; а quarium
акваріум,aquarium
акваріуміст,"aquarist, fishkeeper"
акваторія,waters
аквафобія,hydrophobia
акведук,aqueduct
аквізиція,acquisition
акліматизація,"acclimatization, (BrE)"
акліматизувати,acclimatize sb
акліматизуватися,"acclimatize, (BrE)"
аклямація,(-ії) ж acclamation;
акне,acne
аколіт,acolyte
акомианіювати,"(-іюю, -іюєш) to accompany; (комусь"
акомодація,"adjustment, accommodation to sth"
акомодувати,to accomodate;
акомодуватися,to adept о. s. to
акомпанемент,(musical) accompaniment
акомпанувати,accompany sb on sth
акорд,chord
акордеон,accordion
акордеоніст,accordionist
акордеоністка,(female) accordionist
АКПП,automatic transmission
акр,acre
акредитація,accreditation
акредитив,letter of credit
акредитувати,accredit sth
акриловии,acrylic
акробат,"acrobat, tumbler"
акробатика,acrobatics; acrobatic skiing
акробатичнии,acrobatic
акробатка,(female) acrobat
акронім,acronym
акселерація,acceleration
аксесуари,accessories
аксіальнии,axial
аксіома,axiom
акт,act
активація,activation
активи,assets and liabilities
активіст,activist
активістка,(female) activist
активнии,active
активниипр,active
активність,operation
активно,actively
активувати,"activate, actuate"
актинія,sea anemone
актор,actor; amateur actor
акторка,actress
актуалізація,update
актуальнии,up-to-date
актуально,"currently, at the moment"
акула,shark; hammerhead (shark); (great) white shark
акумулювати,accumulate sth
акумулятор,"battery, accumulator, storage battery; additional battery (pack); flat battery; (AmE); My battery is flat."
акумуляція,accumulation
акупресура,acupressure
акупунктура,acupuncture
акуратнии,neat
акуратність,neatness
акустика,acoustics
акустичнии,acoustic
акут,acute (accent)
акушер,obstetrician
акушерія,(ії) ж midwifery
акушерка,midwife
акцент,accentuate sth
акцентувати,"stress, emphasize sth"
акцепт,acceptance
акцептувати,to accept; вексель: to honour
акциз,excise (tax)
акцизник,(-a)
акціинии,np ~ійний капітал
акціонер,"shareholder, (AmE)"
акціонерка,(female) shareholder
акціонернии,"share, stock; joint-stock company"
акція,special offer | stock/share prices
албанець,Albanian
Албанія,Albania
албанка,Albanian
албанськии,Albanian
алгебра,algebra
алгоритм,algorithm
але,but
алебастр,alabaster
алегоричнии,np allegoric(al)
алегорія,allegory
алерген,allergen
алергік,allergic person
алергія,allergy to sth
алея,"avenue, alley, alleyway"
Алжир,Algeria
алжирець,Algerian
алжирка,Algerian
алжирськии,Algerian
алібі,alibi
алігатор,alligator
аліквотнии,aliquot
аліменти,(child) maintenance
алкалоід,alkaloid
алкаш,"alcoholic, alcohol addict, habitual drinker"
алкоголізм,alcoholism
алкоголік,alcoholic
алкоголь,"alcohol, spirit(s), (hard) liquor; blood alcohol content"
алкогольнии,alcoholic
алкотест,breath test; breathalyze sb
алкотестер,"Breathalyzer, (BrE)"
Аллах,Allah
Алло!,Hello!
алмаз,diamond
алое,aloe
алонж,rider
алтеи,"althaea, (AmE)"
алун,(-у) ч alum
алфавіт,alphabet; alphabetically
алфавітнии,"alphabetical, alphabetic"
алхімік,alchemist
алхімія,alchemy
Альбанія,"(-ії)жА1Ьапіа;а~ець (-ния) ч, а~ський Albanian"
альбатрос,albatross
альбінос,albino
альбом,album; solo album
альвеола,alveolus
альґебра,(-ри) ж algebra; ~>
альдегід,aldehyde
алькир,(-а) ч alcove
алькоголік,(-а) ч p. addicted
алькоголь,(-лю) ч alcohol;
альманах,almanac
Альни,(-пів) мн Alps; а~ійський ПР Alpine; а ~ ініст (-а)
альпака,alpaca
Альпи,the Alps
альпіиськии,Alpine
альпінізм,"mountaineering, mountain climbing, alpinism"
альпініст,"mountaineer, mountain climber, alpinist"
альпіністка,(female) mountain climber
альт,viola
альтана,"(-ни) ж bower, arbour"
альтанка,"gazebo, summerhouse"
альтернатива,alternative
альтернативнии,alternative; alternative service; alternative energy sources
альтернативно,"alternatively, as an alternative"
альтернатор,alternator
альтист,"violist, viola player"
альтруізм,altruism
альтруіст,altruist
альтруістичнии,altruistic
альтруістка,(female) altruist
альфа,alpha
альянс,alliance
алюзія,(-ії) QK allusion (на - to);
алюмініи,"aluminium, (AmE)"
алябастер,(-тру) ч alabaster;
алябастерровии,пр alabaster
алярм,(-у) ч alarm
алярмувати,(-мую. -муєш) to (sound the)
Аляска,Alaska
АМ,stockholder
ам,"at his bidding а. command, in compliance with his"
Амазонія,Amazonia
Амазонка,the Amazon (river)
амазонськии,Amazonian; Amazonian rainforest
амальгама,amalgam
амарант,amaranth
аматор,amateur
аматорка,(female) amateur
аматорськии,"lay, amateur"
амбар,granary
амбасада,embassy
амбасадор,(-а) ч ambassador
амбівалентнии,"equivocal, ambivalent"
амбітнии,ambitious
амбіціі,ambition
амброзія,ambrosia
амбулаторія,outpatient(s') department
амбулаторнии,outpatient
амбулянс,(-у) ч (військовий польовий шпиталь) ambulance; (віз для хворих) ambulance cart a. wagon
амбуляторія,"(-ії) ж іпїіі шагу, Ам. dispensary"
амбція,(-ії) ж ambition
амвон,pulpit
амеба,"amoeba, (AmE)"
Америка,America; Central America; Latin America; South America; North America
Америкаанська,народня пісня Yankee Doodle
американець,American
американка,American
американськии,American
аметист,amethyst
аміак,ammonia
амінокислота,amino acid
амінь,amen
амнезія,"amnesia, memory loss"
амнестія,"(-ії) ж amnesty, general pardon, act of indemnity"
амністія,amnesty
амністувати,amnesty sb
амнутація,(-ії) ж amputation;
амнутувати,to amputate
амоніак,ammonia
амоніяк,(-у) ч ammonia
аморальнии,"immoral, amoral"
аморальність,immorality
амортизатор,shock absorber
амортизація,amortization
амортизувати,"soften, deaden, absorb sth , mute"
аморфнии,amorphous
ампер,"ampère, ampere"
амперсанд,ampersand
ампір,Empire (style)
амплітуда,amplitude
ампула,"ampoule, (AmE)"
ампутація,amputation
ампутувати,amputate
амулет,amulet
амуніція,ammo
амур,grass carp
амфетамін,amphetamine
амфібія,amphibian
амфітеатр,"amphitheatre, (AmE)"
амфора,amphora
АН,ranch
анаболік,anabolic
анаболічнии,anabolic
анаграма,anagram
анаеробнии,anaerobic; anaerobic exercise
анаконда,anaconda
аналіз,analysis; blood test; thermovision
аналізіа,(-зи) зю хвм. analysis;
аналізіувати,д to parse (грам); to analyse (хем)
аналізувати,"analyse, (AmE)"
аналітик,analyst
аналітика,analytics
аналітикиня,(female) analyst
аналітичнии,"analytical, (AmE)"
аналог,analogue of sth
аналогіічнии,пр analogous
аналогічнии,"analogous, corresponding to sth"
аналогія,analogy
аналоговии,"analogue, (AmE)"
анальгетик,"analgesic, anodyne, painkiller"
анальнии,anal
анально,anally
анальфабет,(-а) ч illiterate
анамнез,"anamnesis, case history"
ананас,pineapple
анархіічнии,пр anarchical
анархіст,anarchist
анархістка,(female) anarchist
анархічнии,"anarchist, anarchistic"
анархія,anarchy
анат,uvula; (в замку́) pawl; (на ко́мпасі)hand; (ваги́) cock
анатом,(-а) ч anatomist
анатомічнии,anatomical; anatomically shaped
анатомічно,anatomically
анатомія,anatomy
анахронізм,anachronism
ангажемент,engagement
ангажовании,engagé
ангар,hangar
ангел,angel
ангіна,tonsillitis
англієць,Englishman
англіика,Englishwoman
англіиське,to turn into English; (щось чимсь) to transmit;
англіиськии,English; English (and American) studies; English (language)
англіиською,(in) English
англіканськии,Anglican
англістика,English (and American) studies
Англія,England
англо-американськии,Anglo-American
англомовнии,Anglophone
англосаксонськии,Anglo-Saxon
Ангола,Angola
ангольськии,Angolan
ангорськии,angora; angora wool
анґажуватДО,"танцю to engage for the, next dance"
анґажувати,to engage
Анди,the Andes
андорка,Andorran
Андорра,Andorra
андоррець,Andorran
андоррськии,Andorran
андрогінність,androgyny
андроід,android
андськии,Andean
аневризма,aneurysm
анекдот,"joke, anecdote"
анекдота,( ти) ж anecdote;
анекдотичнии,np anecdotic(al)
анексія,annexation
анексувати,annex
анектувати,to annex
анелювати,to appeal (до to)
анеляціинии,пр ~ суд Court of Appeal
анеляція,(-ії) ж appeal
анемічнии,"anaemic, (AmE)"
анемія,"anaemia, (AmE)"
анемона,"anemone, windflower"
анестезіолог,"anaesthetist, anaesthesiologist, (AmE)"
анестезіологиня,(female) anaesthetist
анестезія,"anaesthesia, (AmE)"
анестезувати,"anaesthetize, (AmE)"
анестетик,"anaesthetic, (AmE)"
ані,en not
аніж,en (у вищ. ступені) than
аніліна,(ни) ж aniline
аніліновии,aniline
аніматор,animator
аніматорка,(female) animator
анімаціинии,animated
анімація,animation; computer animation
аніме,anime
аніон,anion
аніс,anise; aniseed
анітрохи,"not at all, not a bit of it, of course not; no"
анкета,survey
анклав,enclave
анод,anode
анода,(-ди) ж anode
аномаліьнии,пр anomalous
аномалія,anomaly
аномальнии,anomalous
анонім,anonymous letter
анонімнии,anonymous
анонімність,anonymity
анонімно,anonymously
анонс,teaser
анонсувати,announce sth
анорексичнии,"anorexic, anorectic"
анорексія,anorexia; anorexia nervosa
анормальнии,abnormal
анотація,annotation
анробата,( ати) ж approval; sanction
анробатувати,to approve (of); додатково: to sanction
ансамбль,ensemble
антагоністичнии,antagonistic
антаґонст,(-а) ч antagonist
антанта,(-ти) ж agreement; friendship
Антарктида,"Antarctica, the Antarctic"
антарктичнии,Antarctic
антена,"aerial, antenna; satellite dish (aerial)"
антиалькоголізм,(-у) ч total abstinence
антиалькоголізмьнии,abstinent
антибактеріальнии,antibacterial
антибіотик,antibiotic
антивакцинатор,anti-vaxxer
антивірус,"antivirus, antivirus program"
антивіруснии,antivirus; anti-virus program
антивоєннии,antiwar
антиген,antigen
антидатувати,"backdate, antedate sth"
антидепресант,antidepressant
антидопінговии,anti-doping
антиінфляціинии,anti-inflationary
антиквар,"antiquary, antiquarian, antique dealer"
антикваріят,(.у) 4f ~ Н я (-ні) ж secondhand bookshop
антикварнии,antiquarian
антикомуніст,anti-communist
антикомуністичнии,anti-communist
антиконституціинии,unconstitutional
антикорупціинии,anti-corruption
антикризовии,anti-crisis
антилопа,antelope
Антильські острови,the Antilles
антиматерія,antimatter
антимонопольнии,"antimonopoly, (AmE)"
антиоксидант,antioxidant
антипатія,antipathy
антиперспірант,antiperspirant
антипод,Antipode; Antipodes
антирадар,radar jammer
антиросіиськии,anti-Russian
антисанітарія,unsanitariness
антисеміт,anti-Semite
антисемітизм,anti-Semitism
антисемітськии,пр anti-semitic
антисентика,(-ки)ж antisepsis
антисентикичнии,пр antiseptic
антисептик,antiseptic
антисептичнии,antiseptic
антитіло,antibody
антиурядовии,anti-government
антифашистськии,antifascist
антифриз,antifreeze
антициклон,anticyclone
антиципувати,anticipate sth
античнии,ancient
античність,antiquity
антологія,anthology
антонім,antonym
антракт,intermission
антрацит,anthracite
антрекот,rib eye steak
антроиоЗіог,(-а) ч anthropologist
антроиоЗіогічнии,пр anthropological
антроиоЗіогія,(-ії) ж anthropology
антрополог,anthropologist
антропологиня,(female) anthropologist
антропологічнии,anthropological
антропологія,anthropology
ануітет,annuity
анулювання,cancellation fee
анулювати,annul
анус,"anus, anal orifice"
анчоус,anchovy
аншлаг,It's sold out.
аорист,aorist
аорта,aorta
апарат,"apparatus; system, apparatus"
апаратура,apparatus
апартамент,suite
апартеід,apartheid
апатичнии,"apathetic, spiritless"
апатія,apathy
апґреид,upgrade
апель,(-лю) ч військо roll-call; обр. appeal (до - to)
апельсин,orange
апельсиновии,orange
апелювати,appeal against sth
апеляція,appeal to sb
апендикс,appendix
апендицит,appendicitis
Апенніни,the Apennines
аперитив,aperitif
апетит,appetite for sth; lack/loss of appetite
апетитнии,appetizing
аплікація,applique
аплодисменти,applause
аплодувати,applaud sb
апное,"apnoea, (AmE)"
апокаліпсис,apocalypse
апокаліптичнии,"apocalyptic, apocalyptical"
аполітичнии,apolitical
апоплексія,(- ії)жарор1есіїс fit
апортувати,"fetch, retrieve"
апостол,apostle
апостольськии,пр apostolic(al).
апостроф,apostrophe
аптека,"pharmacy, (BrE)"
аптекар,"pharmacist, (AmE)"
аптекарка,"(female) pharmacist, (AmE)"
аптекарськии,pharmaceutical
аптечка,first-aid kit
апчхи,"atishoo, atchoo"
ар,are
араб,Arab
Арабія,(-ії) ж Arabia
арабка,Arab (woman)
арабськии,"Arab, Arabian, Arabic; Arabic (language); Arab countries"
Аравія,Arabia
аранжувальник,arranger
аранжувальниця,(female) arranger
аранжування,arrangement
аранжувати,arrange
арахіс,"peanut, (BrE); groundnut, peanut (vine)"
арахнофобія,arachnophobia
арбалет,crossbow
арбітр,"referee, umpire, judge"
арбітраж,arbitration
аргановии,argan oil
Аргентина,Argentina
аргентинець,"Argentinian, Argentine"
аргентинка,"Argentinian, Argentine"
аргентинськии,"Argentinian, Argentine"
арго,argot
арготичнии,"argotic, slang"
аргумент,argument
аргументація,argumentation
аргументувати,"argue for sth, against sth"
арґумент,(-у) ч argument
арена,circus
ареола,areola
ареометр,densimeter
арешт,arrest; custody
арештант,"prisoner, convict"
арештантка,(female) prisoner
арештовании,arrested; detainee
арештувати,"sequester, distrain upon sth"
аристократ,aristocrat
аристократизм,"grace, elegance"
аристократичнии,aristocratic
аристократія,aristocracy
аритметика,(-ки) ж arithmetic
аритметикичнии,пр arithmetical
аритмія,arrhythmia
арифметика,arithmetic
арифметичнии,arithmetic
арія,aria
арка,arch
аркада,arcade
аркан,lasso
Арктика,the Arctic (zone)
арктичнии,arctic
аркуш,sheet
арматура,"fitting(s), fixtures; reinforcement"
армія,"army, the military; Salvation Army"
армреслінг,arm wrestling
ароґант,(-а) ч arrogant
ароґантція,(-ії) ж arrogance
аромалампа,oil burner
аромат,"aroma, smell, fragrance, scent, odour, (AmE)"
ароматерапія,aromatherapy
ароматичнии,"aromatic, scented, perfumed; incense stick"
арорІеху,"of the brain, of the"
арочнии,"arched, arching, vaulted"
арсен,arsenic
арсенал,"arsenal, armoury, (AmE)"
артбригада,artillery brigade
артезіанськии,artesian
артеріальнии,arterial
артерііинии,пр arterial
артеріосклероз,"atherosclerosis, arteriosclerosis, hardening of the arteries"
артерія,artery; carotid (artery); (traffic) artery
артефакт,"artefact, artifact"
артикул,article
артикулювати,articulate
артикуляція,articulation
артилерист,"artilleryman, gunner"
артилеристка,(female) antiaircrafter
артилерія,artillery
артист,"artist; acrobat, tumbler"
артистичниипр,artistic! al)
артистка,(female) artist
артишок,(globe) artichoke
артіль,"(-лі) ж guild, corporation"
артроз,arthrosis
арфа,harp
арфіа,(-фи) ж harp
арфііст,"( а; 4 ~істка (-ки) ж harper, harpist"
архаізм,archaism
архаічнии,"archaic, archaistic"
архангел,archangel
архачнии,"пр archaic, antiquated"
археолог,"archaeologist, (AmE)"
археологиня,(female) archaeologist
археологічнии,"archaeological, (AmE)"
археологія,"archaeology, (AmE)"
археологогія,(ії) ж archaeology
архетип,archetype
архетипнии,"archetypal, archetypical"
архиєпископ,archbishop
архиєпископство,"archbishopric, archiepiscopate"
архів,archive
архівар,"(-ара) ч keeper of the archives, registrar"
архіваріус,archivist
архівація,archiving
архівувати,archive
архідіякон,(-а) ч archdeacon
архієпископ,(-а) ч archbishop
архієпископство,(-ва) о archbishopric
архієреи,(-рея) ч high priest;
архікнягина,(катол.) arch[i]presbyter
архімандрит,"(-а) ч archi•mandrite, abbot"
архіпастир,(-я) ч high priest; катол. arch(i)presbyter
архіпастирськии,пр archipresbyteral
архіпелаг,archipelago
архітект,( а) ч architect
архітектор,"architect; landscape architect/gardener, landscapist"
архітекторка,(female) architect
архітектура,architecture
архітектурнии,"architectural, architectonic"
аршин,archine
аршинник,(-а) ч хем. arsenic
асексуальнии,asexual
асекураціиниипр,~е товариство insurance - company;
асекурація,(-ії) ж assurance; insurance (майна)] ~уватИ to життя);(майно)\0 insure
асенізація,redevelopment; redevelop
асертивнии,assertive
асертивність,assertiveness
асиґната,(-ти) ж assignat;
асиґнатувати,to assign a th. to a p.
асиметричнии,"asymmetric, asymmetrical"
асиметрія,asymmetry
асимілювати,assimilate
асимілюватяція,(-ії) ж assimilation
асиміляція,assimilation
асист,assist
асиста,(-ти) ж assistance;
асистент,"assistant, aide; assistant coach"
асистентка,(female) assistant
асистенція,assistance
асистовании,assisted
асистувати,"second, assist sb"
аскарида,"ascarid, ascaris"
аскет,ascetic
аскетизм,asceticism
аскетичнии,ascetic
асортимент,"range (of products), assortment"
асорті,platter; cold cuts
асоціальнии,antisocial
асоціація,"association, society, fellowship"
асоціювати,associate sth with sth
аспартам,aspartame
аспект,"viewpoint, aspect, facet of sth"
аспірант,(BrE)
аспірантськии,postgraduate
аспірантура,postgraduate study
аспірація,aspiration
аспірин,aspirin
аст,"to play; to describe, to ; (а. to be) contrary to the"
астероід,"asteroid, planetoid, minor planet"
астигматизм,astigmatism
астма,asthma
астматичнии,asthmatic; asthmatic cough
астральнии,astral
астролог,astrologer
астрологиня,(female) astrologer
астрологічнии,astrological
астрологія,astrology
астронавт,"astronaut, cosmonaut"
астронавтка,(female) astronaut
астроном,astronomer
астрономічнии,astronomical
астрономія,astronomy
астрономка,(female) astronomer
астрофізик,astrophysicist
астрофізика,astrophysics
астрофізикиня,(female) astrophysicist
асфальт,asphalt
асфальтобетон,(BrE)
асфальтовии,пр asphaltic
асфальтувати,asphalt
асфіксія,asphyxia
асцендент,ascendant
ат,"the bottom; beneath ; the top of one's voice ; a venture, at haphazard ; a th. ; a p.'s disposal а command; ; a p.); to leap; to jump, to ; the present time а. day, in ; heart; to wonder (чи-whether, if) ; the time of; важкі ~и́ hard"
АТ,"plc, joint stock company"
атака,"attack, assault, offensive, (AmE); airborne attack"
атакувати,They came under attack.; They were attacked.
